Country,Precipitation,12.2.2 Consumption,9.c.1 3G Coverage,9.b.1 Proportion of Tech Value,9.5.1 research spending per GDP,9.4.1 CO2 Emission,9.2.2 percentage of manufacturing employment,9.2.1. Manufacutring add value,9.1.2 Transportation Volume,8.10.1 number of ATM,8.6.1 not in education or employment,8.4.1 material footprint,8.2.1 Annual growth per employee,8.1.1 Annual Growth Rate,4.b.1 Scholars,4.2.2 Organized Learning,4.1.1 Reading Proficiency,2.2.2 Malnutritiohn,2.1.2 Food insecurities,2.1.1 Undernourishment,Poverty Rate (Goal),Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,CoastlineLength,Date
LBR,"2,391",97520107.77,50,?,?,?,?,21.42,850060453.2,?,?,15446659.59,-2.7,6.66,0.92,84.25,?,?,?,42.8,68.6,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,0.52,0,128.87,1000,57.5,2.3,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177,579,2014
NIC,"2,391",189073536,75,?,0.11,5.7,?,273.15,7301774719,26.44,?,45863535.65,2.5,3.68,0.83,?,?,?,?,17,16.5,LATIN AMER. & CARIB    ,5570129,129494,43.0,0.70,-1.22,29.11,2300,67.5,39.7,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56,910,2014
GUY,"2,387",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,767245,214970,3.6,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,0.203,0.427,459,2014
GRD,"2,350",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,89703,344,260.8,35.17,-13.92,14.62,5000,98.0,364.5,5.88,29.41,64.71,2,22.08,6.88,0.054,0.18,0.766,121,2014
PHL,"2,348",2382895152,78,45.95,?,104.23,?,608.43,1.34E+11,33.91,22.7,868392081.8,4.3,4.38,14.37,84.59,?,7.1,?,13.8,21.2,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,12.10,-1.5,23.51,4600,92.6,38.4,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53,36.289,2014
SUR,"2,331",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,439117,163270,2.7,0.24,-8.81,23.57,4000,93.0,184.7,0.37,0.06,99.57,2,18.02,7.27,0.13,0.22,0.65,386,2014
SYC,"2,330",1418759.07,90,?,?,?,7.3,994.5,1609999501,119.01,?,4328045.28,?,4.43,0.88,97.42,?,?,9.3,?,1.1,SUB-SAHARAN AFRICA                 ,81541,455,179.2,107.91,-5.69,15.53,7800,58.0,262.4,2.22,13.33,84.45,2,16.03,6.29,0.032,0.304,0.665,491,2014
LCA,"2,301",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,168458,616,273.5,25.65,-2.67,13.53,5400,67.0,303.3,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73,158,2014
TTO,"2,200",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,1065842,5128,207.9,7.06,-10.83,24.31,9500,98.6,303.5,14.62,9.16,76.22,2,12.9,10.57,0.007,0.57,0.423,362,2014
BTN,"2,200",52594069.13,80,?,?,?,6.48,225.81,3026257877,41.82,?,15904748.19,0.6,5.12,6.07,?,?,?,?,?,35.2,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0.00,0,100.44,1300,42.2,14.3,3.09,0.43,96.48,2,33.65,12.7,0.258,0.379,0.363,0,2014
GNQ,"2,156",134058085,?,?,?,?,?,?,23123852914,12.24,?,?,-13.8,-12.59,0.17,43.88,?,?,?,?,7.1,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,1.06,0,85.13,2700,85.7,18.5,4.63,3.57,91.8,2,35.59,15.06,0.03,0.906,0.062,296,2014
MMR,"2,091",1049595132,79.3,6.63,?,24.74,10.87,268.96,17687396695,5.34,18.6,151484467.7,6.2,6.01,12.4,?,?,?,6.3,16.9,61,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,0.28,-1.8,67.24,1800,85.3,10.1,15.19,0.97,83.84,2,17.91,9.83,0.564,0.082,0.353,1.930,2014
ECU,"2,087",760896519.6,91.86,10.27,?,38.19,11,657.26,1.27E+11,65.54,19.8,309141654.7,-5.2,-1.34,2.29,98.74,?,?,19.8,12.1,30.2,LATIN AMER. & CARIB    ,13547510,283560,47.8,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618,2.237,2014
DMA,"2,083",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,68910,754,91.4,19.63,-13.87,14.15,5400,94.0,304.8,6.67,20,73.33,2,15.27,6.73,0.177,0.328,0.495,148,2014
PRI,"2,054",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,3927188,13790,284.8,3.63,-1.46,8.24,16800,94.1,283.1,3.95,5.52,90.53,2,12.77,7.65,0.01,0.45,0.54,501,2014
JAM,"2,051",105751632.4,90,18.77,?,7.68,6.41,377.25,26347514110,35.57,?,44373657.7,-0.5,0.55,1.13,96.38,?,?,?,8.4,2.8,LATIN AMER. & CARIB    ,2758124,10991,250.9,9.30,-4.92,12.36,3900,87.9,124.0,16.07,10.16,73.77,2,20.82,6.52,0.049,0.337,0.615,1.022,2014
MUS,"2,041",89268469.62,92.8,8.86,?,4.33,21.75,1296.09,7055941702,67.31,?,51378130.09,2,3.28,1.97,95.04,?,?,15,5.2,0.5,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,8.68,-0.9,15.03,11400,85.6,289.3,49.26,2.96,47.78,2,15.43,6.86,0.059,0.298,0.643,177,2014
GTM,"1,996",476899139.1,92,22.4,0.03,15.49,12.82,574.94,52397497867,68.94,26.5,107467839.8,1.4,2.03,1.09,80.26,?,4.7,33,15.6,11.7,LATIN AMER. & CARIB    ,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585,400,2014
HND,"1,976",213553327,83.12,7.16,0.02,9.78,14.95,351.95,26349300591,42.8,27,60671057,-3.4,1.89,0.88,76.17,?,?,?,14.8,31.3,LATIN AMER. & CARIB    ,7326496,112090,65.4,0.73,-1.99,29.32,2600,76.2,67.5,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549,832,2014
MDV,"1,972",16332008.9,100,2.63,?,?,?,235.52,1254730251,37.97,?,12000752.92,1.2,-0.24,3.7,93.27,?,?,?,8.5,10,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,214.67,0,56.52,3900,97.2,90.0,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62,644,2014
ISL,"1,940",20932090,99,16.57,2.19,2.38,10.24,6627.06,8232384295,103.18,4.6,20683481.99,1.5,3.53,?,99.78,77.91,?,?,?,0.2,WESTERN EUROPE                     ,299388,103000,2.9,4.83,2.38,3.31,30900,99.9,647.7,0.07,0,99.93,3,13.64,6.72,0.086,0.15,0.765,4.970,2014
KHM,"1,904",455183321.7,70,0.26,0.12,8.25,?,185.54,9362793317,19.47,?,104001171.2,5.2,5.33,13.17,?,?,?,43.8,15.3,39.1,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0.24,0,71.48,1900,69.4,2.6,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35,443,2014
VEN,"1,875",1218881001,90,34.28,0.25,137.75,?,1557.87,3.46E+11,62.54,?,436758235.1,-6.9,-7.48,1.35,92.45,?,?,?,13,20,LATIN AMER. & CARIB    ,25730435,912050,28.2,0.31,-0.04,22.2,4800,93.4,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541,2.800,2014
UKR,"1,875",3227419045,35,30.36,0.61,192.68,12.58,350.94,1.28E+11,87.47,17.6,1007602401,-9.7,-9.32,10.65,?,?,?,?,?,2.1,C.W. OF IND. STATES ,46710816,603700,77.4,0.46,-0.39,20.34,5400,99.7,259.9,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361,2.782,2014
LAO,"1,834",365989079.2,65,?,?,?,?,161.74,4341239033,26.21,?,87816025.44,5.2,5.86,11.2,55.21,?,?,?,17.1,79.3,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.00,0,85.22,1700,66.4,14.1,3.8,0.35,95.85,2,35.49,11.55,0.455,0.287,0.258,0,2014
GAB,"1,831",61080551.08,97,5.39,?,4.93,?,396,45120939432,?,?,17594494.27,-0.3,1.08,1.6,?,?,?,?,7,8,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,0.33,0,53.64,5500,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348,885,2014
VNM,"1,821",5691782451,70,40.36,0.44,170.75,15.69,269.53,1.04E+11,27.81,?,1731199220,5.8,5.51,44.75,98.74,86.16,6.4,7.8,10.7,38,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,1.05,-0.45,25.95,2500,90.3,187.7,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381,3.444,2014
BRA,"1,782",14940440448,93.53,35.16,1.28,451.25,12.54,1376.81,1.71E+12,134.99,21.5,5210225728,-3.5,-4.59,14.31,92.68,48.89,?,0.9,?,11.6,LATIN AMER. & CARIB    ,188078227,8511965,22.1,0.09,-0.03,29.61,7600,86.4,225.3,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516,7.491,2014
PER,"1,738",2148496917,90.65,14.72,0.12,49.64,9.16,817.73,3.39E+11,127.37,18.5,548041010.4,3.1,1.92,3.65,99.37,46.01,0.8,?,7.9,22.4,LATIN AMER. & CARIB    ,28302603,1285220,22.0,0.19,-1.05,31.94,5100,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,2.414,2014
NZL,"1,732",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,OCEANIA                            ,4076140,268680,15.2,5.63,4.05,5.85,21600,99.0,441.7,5.6,6.99,87.41,3,13.76,7.53,0.043,0.273,0.684,15.134,2014
SLV,"1,724",157155457.4,73.41,19.13,0.13,6.77,16.03,738.17,50663818278,47.26,29.9,65518486.16,1.5,1.79,0.92,83.67,?,?,36.9,12.3,17.8,LATIN AMER. & CARIB    ,6822378,21040,324.3,1.46,-3.74,25.1,4800,80.2,142.4,31.85,12.07,56.08,2,26.61,5.78,0.099,0.302,0.599,307,2014
LKA,"1,712",614501607.7,83,6.68,?,19.82,?,593.87,43843786312,35.75,?,151283390.3,4.8,4.38,9.32,?,?,?,?,22.1,8.3,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,2.04,-1.31,14.35,3700,92.3,61.5,13.86,15.7,70.44,2,15.51,6.52,0.178,0.276,0.545,1.340,2014
BLZ,"1,705",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,287730,22966,12.5,1.68,0,25.69,4900,94.1,115.7,2.85,1.71,95.44,2,28.84,5.72,0.142,0.152,0.612,386,2014
JPN,"1,668",7284842975,99.9,55.34,3.29,1142,16.66,8859.27,1.31E+12,161.79,3.6,6025823648,0.7,1.26,?,91.11,87.12,?,1.2,?,0.3,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,7.87,0,3.26,28200,99.0,461.2,12.19,0.96,86.85,3,9.37,9.16,0.017,0.258,0.725,29.751,2014
GIN,"1,651",268963593,39.1,?,?,?,?,73.42,5238584961,4.6,?,55181372.76,-2.5,1.99,2.44,?,?,?,?,17.5,71,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,0.13,-3.06,90.37,2100,35.9,2.7,3.63,2.58,93.79,2,41.76,15.48,0.237,0.362,0.401,320,2014
COG,"1,646",105770344.1,50,2.42,?,2.97,?,121.86,13338135404,11.2,?,22186246.13,0.3,0.09,3.85,?,?,8.2,?,28.2,51.6,SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,0.05,-0.17,93.86,700,83.8,3.7,0.51,0.13,99.36,2,42.57,12.93,0.062,0.57,0.369,169,2014
THA,"1,622",5083252715,97,40.71,0.62,248.27,16.98,1636.78,4.41E+11,125.32,13.6,1953356453,4.5,2.58,4.65,95.66,50.02,?,?,9.5,3.8,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63,0,20.48,7400,92.6,108.9,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46,3.219,2014
CMR,"1,604",562563871.7,50,7.61,?,6.2,?,201.1,22513809280,?,?,87627030.05,2.7,2.9,8.28,51.76,?,?,82.8,7.9,29.3,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0.08,0,68.26,1800,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,402,2014
VCT,"1,583",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,117848,389,303.0,21.59,-7.64,14.78,2900,96.0,190.9,17.95,17.95,64.1,2,16.18,5.98,0.1,0.26,0.64,84,2014
GNB,"1,577",40666196.79,?,?,?,?,?,72.73,768325628.5,7.27,?,?,1.8,2.45,0.44,?,?,?,?,28.3,67.1,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,0.97,-1.57,107.17,800,42.4,7.4,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26,350,2014
COD,"1,543",1001433955,20,?,0.02,2.78,?,79.34,8827461464,2.34,?,313943208.1,3.4,3.45,3.46,?,?,?,?,28.2,96.1,SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,0.00,0,94.69,700,65.5,0.2,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,37,2014
CHE,"1,537",677978824.8,100,63.04,?,37.44,12.59,13792,99833778029,143.05,7.4,507267661.8,-0.6,0.13,?,99.5,80.02,?,4.5,?,0,WESTERN EUROPE                     ,7523934,41290,182.2,0.00,4.05,4.39,32700,99.0,680.9,10.42,0.61,88.97,3,9.71,8.49,0.015,0.34,0.645,0,2014
CHL,"1,522",3210455918,90,13.67,0.38,82.15,11.14,1527.16,3.83E+11,73.22,?,587239635.3,0.8,1.4,4.27,95.72,71.56,?,11.4,3.7,4.3,LATIN AMER. & CARIB    ,16134219,756950,21.3,0.85,0,8.8,9900,96.2,213.0,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447,6.435,2014
MDG,"1,513",348366215.6,61,3.56,?,?,6.58,68.71,9989413295,4.35,?,40366545.13,1.1,0.31,2.89,?,?,?,?,42.3,81.3,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,0.276,0.165,0.559,4.828,2014
TLS,"1,500",58850071.96,96,?,?,?,?,6.06,219379400.4,12.09,?,?,2.3,18.14,7.97,59.26,?,?,?,26.9,47,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,4.70,0,47.41,500,58.6,,4.71,0.67,94.62,2,26.99,6.24,0.085,0.231,0.684,706,2014
NPL,"1,500",635369083.2,50,8.6,?,7.59,?,46.08,6662988232,17.71,?,149778946.7,0.3,2.12,6.52,80.47,?,?,?,8.1,46.1,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0.00,0,66.98,1400,45.2,15.9,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41,0,2014
ALB,"1,485",166854973.9,99,6.69,?,4.88,9.25,225.74,14515818810,56.83,32.8,61827810.89,-2.7,2.14,3.67,89.49,49.72,?,29.7,4.9,2.4,EASTERN EUROPE                     ,3581655,28748,124.6,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579,362,2014
HTI,"1,440",80699467.61,50,5.26,?,4.13,?,86.8,4751451118,3.95,?,23602881.49,-1,-0.1,3.48,?,?,?,?,46.8,48.3,LATIN AMER. & CARIB    ,8308504,27750,299.4,6.38,-3.4,73.45,1600,52.9,16.9,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52,1.771,2014
KNA,"1,427",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,39129,261,149.9,51.72,-7.11,14.49,8800,97.0,638.9,19.44,2.78,77.78,2,18.02,8.33,0.035,0.258,0.707,135,2014
BRB,"1,422",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,279912,431,649.5,22.51,-0.31,12.5,15700,97.4,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78,97,2014
NOR,"1,414",710955911.8,99,46.06,1.93,36.98,8.61,6358.13,86624839536,53.54,5,386785095.2,0.9,0.8,?,99.73,85.09,?,3.6,?,0.2,WESTERN EUROPE                     ,4610820,323802,14.2,7.77,1.74,3.7,37800,100.0,461.7,2.87,0,97.13,3,11.46,9.4,0.021,0.415,0.564,25.148,2014
DOM,"1,410",311583677.2,98.8,?,?,21.8,9.86,933.79,1.51E+11,48.87,20.9,126818306.9,4.2,5.79,0.76,78.15,27.73,?,?,13.5,8.8,LATIN AMER. & CARIB    ,9183984,48730,188.5,2.64,-3.22,32.38,6000,84.7,97.4,22.65,10.33,67.02,2,23.22,5.73,0.112,0.306,0.582,1.288,2014
CIV,"1,348",410324207.8,45.75,14.99,?,10.19,?,171.52,12621951879,11.76,?,44221479.21,6.9,6.44,4.07,?,?,?,?,15.4,35,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,0.16,-0.07,90.83,1400,50.9,14.6,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55,515,2014
CAF,"1,343",90938244.94,23,9.25,?,?,?,90.46,1332121882,?,?,22809217.25,4.6,4.09,1.07,?,?,?,?,58.6,67.7,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,0.00,0,91,1100,51.0,2.3,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25,0,2014
CUB,"1,335",413317964.5,0,?,0.43,31.11,?,641.05,1.13E+11,?,?,158827999,4,4.24,1.13,99.82,?,?,?,?,1.1,LATIN AMER. & CARIB    ,11382820,110860,102.7,3.37,-1.58,6.33,2900,97.0,74.7,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684,3.735,2014
BHS,"1,292",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LATIN AMER. & CARIB    ,303770,13940,21.8,25.41,-2.2,25.21,16700,95.6,460.6,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9,3.542,2014
KOR,"1,274",3613254822,99,63.65,4.22,586.54,17.3,7146.97,5.03E+11,293.05,?,2558211653,1.8,2.37,?,90.81,86.34,?,?,?,0.3,ASIA (EX. NEAR EAST)         ,48846823,98480,496.0,2.45,0,7.05,17800,97.9,486.1,17.18,1.95,80.87,3,10,5.85,0.033,0.403,0.563,2.413,2014
BDI,"1,274",110538218.2,0,2.57,?,?,?,31.69,2470485650,4.58,?,33501716.01,-7,-3.31,1.09,?,?,?,?,?,78.1,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,0.00,-0.06,69.29,600,51.6,3.4,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334,0,2014
URY,"1,265",678484303,90,15.29,0.36,6.59,11.07,1745.83,73463880735,66.67,18.7,227236087,1.4,0.02,1.36,96.88,60.99,?,?,?,0.6,LATIN AMER. & CARIB    ,3431932,176220,19.5,0.37,-0.32,11.95,12800,98.0,291.4,7.43,0.23,92.34,3,13.91,9.05,0.093,0.311,0.596,660,2014
GBR,"1,220",3317266647,99.6,47.37,1.69,390.07,9.59,3425.85,7.27E+11,131.31,11.1,2897448045,0.7,1.75,?,97.65,82.12,?,12.6,?,0.5,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5.16,27700,99.0,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758,12.429,2014
RWA,"1,212",197613484.2,88.01,6.66,?,?,?,39.62,5585309734,11.62,?,71256759.5,5.9,6.23,3.87,?,?,7.7,?,41.1,80.1,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,0.00,0,91.23,1300,70.4,2.7,40.54,12.16,47.3,3,40.37,16.09,0.401,0.229,0.37,0,2014
GHA,"1,187",1070862472,80,0.8,?,14.94,14,91.02,13225549814,17.31,?,193752133.2,1.3,1.5,6.42,?,?,?,74.7,7.6,24.5,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387,539,2014
MWI,"1,181",345566965.5,32,11.34,?,?,?,55.41,4792415671,8.11,?,42305011.62,-0.5,-0.15,1.98,?,?,4.5,?,25.9,72.8,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,0.00,0,103.32,600,62.7,7.9,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499,0,2014
UGA,"1,180",710392896,60,11.07,?,?,?,65.07,19448639917,7.34,?,202436246.1,1.2,2.22,5.63,?,?,?,?,39,64.1,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0.00,0,67.83,1400,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,0.311,0.222,0.469,0,2014
TGO,"1,168",176790097,50,?,?,2.68,?,51.53,2827015465,5.21,?,37690876.95,2.5,3.06,1.66,?,?,?,97.2,11.5,55.6,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0.10,0,66.61,1500,60.9,10.6,46.15,2.21,51.64,2,37.01,9.83,0.395,0.204,0.401,56,2014
SVN,"1,162",174156134.1,99.5,48.65,2.2,13.22,23.4,4344.61,38545457984,126.59,9.5,91120975.78,2.1,2.06,?,93.99,84.86,?,?,?,0,EASTERN EUROPE                     ,2010347,20273,99.2,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603,46.6,2014
